author,title,url_doi,date,version,retrieved,page_eq,access,local_sha256,status_note
Kramer M. et al.,Strong-Field Gravity Tests with the Double Pulsar,"PRX 11, 041050 (2021); DOI 10.1103/PhysRevX.11.041050",2021-12-13,published,2026-09-08,e=0.088; GW test agreement 0.013% (snippet); other numbers from memory,BLOCKED,,PARTIAL via snippet
Kokorev V. et al. (authors not verified),Mysteries of Capotauro: investigating the puzzling nature of an extreme F356W-dropout,https://arxiv.org/abs/2509.01664,2025-09,preprint (publication status not verified),2026-09-08,z≈32 candidate; alternatives incl. brown dwarf (snippet),BLOCKED,,ABSTRACT-LEVEL via snippet; author list NOT verified
(authors not verified),A clear detection of proper motion confirms that the claimed z≃32 galaxy candidate 'Capotauro' is a Y-type brown dwarf,https://arxiv.org/abs/2608.07461,2026-08,preprint (publication status not verified),2026-09-08,motion 132 +/- 20 mas over 3.5 yr; mu = 37.6 +5.5/-5.6 mas/yr; extragalactic excluded >6 sigma; d ~ 500 pc (snippet),BLOCKED,,ABSTRACT-LEVEL via snippet
(authors not verified),Galaxy Size and Mass Build-up in the First 2 Gyrs of Cosmic History from Multi-Wavelength JWST NIRCam Imaging,https://arxiv.org/abs/2410.16354,2024-10-21,preprint/journal status not verified,2026-09-08,"~3500 SF galaxies 3<=z<9, 7 NIRCam bands, GalfitM (snippet)",BLOCKED,,ABSTRACT-LEVEL via snippet
"Suntola T., Day R.",Supernova observations fit Einstein-deSitter expansion in 4-sphere,https://arxiv.org/abs/astro-ph/0412701,2004-12,preprint,2026-09-08,DU magnitude form m = M + 5log10(R z) + 2.5 log10(1+z) (from memory; used as q=+1 candidate),BLOCKED,,NOT RETRIEVED; formula identification OPEN LOOP
Anthropic,Claude Code sub-agents documentation,https://code.claude.com/docs/en/sub-agents,,,2026-09-08,—,not fetched (not needed: checks run sequentially),,Sequential review used instead of sub-agents
"Suntola T. (statements about the article, EXTERNALLY SUPPLIED)","Article statements: Eq.32 decay only for eccentric orbits (factor 0 at e=0), quadrupole effect not excluded; Pantheon conversion D_L = z sqrt(1+z) R4 then +2.5 log10[(1+z)^2]",DOI 10.3389/fspas.2026.1827522,2026-06-03,—,"2026-09-08 (supplied by user, verified externally; NOT fetched by this environment)",Eq. 32; Pantheon conversion text (rendered Eq. 36 not seen),externally supplied,,Provenance: user-supplied; environment cannot confirm.
Liu et al. (EXTERNALLY SUPPLIED),A clear detection of proper motion confirms that the claimed z≃32 galaxy candidate 'Capotauro' is a Y-type brown dwarf,https://arxiv.org/abs/2608.07461,2026-08-07,preprint,2026-09-08 (supplied by user),total proper motion 37.6 (+5.5/-5.6) mas/yr; extragalactic excluded >6 sigma,externally supplied,,Supersedes snippet-level row above; author list per user.
Freire P.C.C. et al. (EXTERNALLY SUPPLIED confirmation),PSR J1738+0333 II,"MNRAS 423, 3328 (2012)",2012,published,2026-09-08 (supplied by user),e = (3.4 ± 1.1)e-7; Pbdot_int ≈ -25.9 ± 3.2 e-15 s/s; GR ≈ -27.7e-15,externally supplied,,Confirms values used in src/binary_decay.py; Pb still from memory.
Hogg D.W. et al. (EXTERNALLY SUPPLIED confirmation),The K correction — defined as transformation between observed-frame and emitted-frame broadband photometry,astro-ph/0210394,2002,—,2026-09-08 (supplied by user),definition,externally supplied,,Consistent with src/kcorrection_audit.py derivation.
