id,category,source_location,assumptions,derivation,prediction,observable,dependencies,test_file,status,bounded_conclusion,failure_type
C11,HAVAINTOTULOS (artikkelin väite),"Artikkelin tekstimuunnos (ulkoisesti toimitettu 2026-09-08, ei haettu tässä ympäristössä): bolometrinen D_L = z√(1+z)R4, sitten +2.5 log10[(1+z)²]",p=0.5 bolometrinen; p=1.5 = tekstimuunnoksen implikoima luettelomuoto (ei renderöity yhtälö 36),"χ² täydellä STAT+SYS-kovarianssilla, M profiloitu",—,"1590 SN, zHD>0.01",C13,src/pantheon_decisive_test.py; results/pantheon_decisive_test.json,RISTIRIITA (p=1.5: FALSIFIED AS CURRENTLY FORMULATED; p=0.5: TENSION),"p=1.5: Δχ² = +3491, ΔBIC +3483, jäännöstiltti −4.41 mag/dex, 59σ parhaasta p:stä; p=0.5: Δχ² = +82, 8σ; vapaa p = 0.623 ± 0.015 (Δχ² +14 samalla k). Väite 'vähintään yhtä hyvä kuin ΛCDM' ei toistu.",fysikaalinen/tilastollinen ristiriita
C12,TULKINTA (artikkelin väite),Artikkelin tekstimuunnos (ulkoisesti toimitettu): +2.5 log10[(1+z)²] K-korjauksen perusteella; Hogg ym. 2002 määritelmä (ulkoisesti vahvistettu),Hoggin määritelmä m_R = M_Q + DM + K_QR,K_QR laskettu määritelmästä synteettisellä SED:llä ja suodattimilla,K riippumaton D_X:stä; sisältää vain kaistatermit ja kaistanleveystermin −2.5log(1+z),—,—,src/kcorrection_audit.py,RISTIRIITA,K-korjaus on kaistamuunnos havaitun ja lepokehyksen välillä; se ei poista kosmologisia laimennustekijöitä (todennettu numeerisesti: K riippumaton D_X:stä). Lisätermi tuottaa p=1.5:n ja falsifioituu Pantheon+:lla.,fysikaalinen ristiriita / kaksoislaskenta
C13,HAVAINTOTULOS (Pantheon+),Brout ym. 2022: Ωm = 0.334 ± 0.018 (SN-only),"Flat ΛCDM, zHD>0.01, D_L=(1+z_hel)D_M(z_HD), M profiloitu",—,Ωm,1590 SN,—,src/pantheon_fit.py,TOISTETTU,"Ωm = 0.3316 (+0.0184/−0.0180), χ²=1402.9/1588.",—
C14,JOHDANTO / TIER-1 EROTTELEVA HAVAINTO,"Artikkeli (ulkoisesti toimitettu lausuma): yhtälö 32 ennustaa hidastumista vain eksentrisille radoille, eksentrisyystekijä = 0 ympyräradalle; kvadrupolivaikutusta ei suljeta pois","DU-32-ONLY: F(0)=0, F analyyttinen → F = O(e^n), n≥1; prefaktorisuhde X tuntematon","Raja: |Ṗb_32(J1738)| ≤ |Ṗb(B1913)|·(e_J/e_B)^n·X; havaittavuus vaatii X ≳ 1800 (n=1, e+1σ); GR-tyyppinen prefaktori antaa X = 0.14",DU-32-ONLY: Ṗb(J1738) = 0 mittausvirheen sisällä (numeerinen arvo UNRESOLVED ilman yhtälöä 32); DU-PLUS-QUADRUPOLE: ei ennustetta (teoria puuttuu),"Ṗb_int = (−25.9 ± 3.2)e-15 s/s (Freire ym. 2012, ulkoisesti toimitettu); e = (3.4 ± 1.1)e-7",C15,src/binary_decay_tiers.py; results/binary_decay_tiers.json,DU-32-ONLY: RISTIRIITA (8.1σ) — FALSIFIED AS CURRENTLY FORMULATED; DU-PLUS-QUADRUPOLE: EI YKSILÖIDY — NOT YET PREDICTIVE,"Kaksikomponenttisovitus (J1738, J0737, B1913): κ = 1.0005 ± 0.0005 (n=2), eksentrisyystermi ≤ 0.8 % (n=1) / ≤ 0.2 % (n=2) B1913+16:n hidastumisesta 2σ:lla. Pelastus vaatii GR:n kvadrupolitermin 0.05 %:n tarkkuudella ja vie yhtälöltä 32 sen empiirisen sisällön. Puuttuva teoria listattu results/binary_decay_tiers.json.",fysikaalinen ristiriita (DU-32-ONLY); puuttuva teoria (DU-PLUS-QUADRUPOLE)
C15,HAVAINTOTULOS (GR-referenssi),Peters & Mathews 1963,GR kvadrupolikaava,"Kaksi riippumatonta toteutusta (PM-kaava ja dE/dt-reitti), ero <1e-12",Ṗb_GR,B1913+16: −2.4022e-12 (julk. −2.40263e-12); J1738: −2.746e-14 (julk. −2.77e-14); J0737: −1.2479e-12,—,src/binary_decay.py,TOISTETTU,"GR toistaa julkaistut arvot 0,2–1 %:n tarkkuudella; havainto/GR = 0.998 (B1913), 0.94±0.12 (J1738), 1.000 (J0737).",—
C16,UUSI HYPOTEESI (artikkeli),"Liu ym., arXiv:2608.07461 (7.8.2026; ulkoisesti toimitettu); artikkelin ehdollinen väite",—,—,—,Kokonaisominaisliike 37.6 (+5.5/−5.6) mas/v; ekstragalaktinen tulkinta suljettu >6σ; Y-tyypin ruskea kääpiö,—,sources/manifest.csv,RISTIRIITA — havaintotuki poistettu (NOT DISCRIMINATING),"Capotauro poistetaan z≈31–32-galaksin havaintotukena. Geneerinen antipodaalinen ennuste säilyy ehdollisena DU-ennusteena (malli L-B), mutta L-B on Pantheon+:lla hylätty (Δχ² +277).",havaintopäivitys
C17,JOHDANTO (ehdollinen),A4 malli L-B,χ = ln(1+z),sin χ = 0 kun χ = π,Antipodaalinen kaksoiskuva z = e^π − 1 = 22.14; z>22.14 pariteetti kääntyy; JWST z=10–14: sin χ = 0.06–0.03 → suuri linssikerroin,"Kulmakoot, vuo",C10,src/du_symbolic_checks.py,EHDOLLINEN,"Vain L-B:ssä; L-A:ssa ei antipodia. Kuvan puuttuminen hylkää vain jos havaitsemistodennäköisyys (emissioaika, kehitys, syvyys) on laskettu.",—
C18,TULKINTA,Tehtävänanto: paikallinen laajeneminen 'katoaa koordinaattimuunnoksessa',"r ∝ R4, c0 ∝ T^{-1/3}, f ∝ c0 (C09)",d ln(2r/c0 · f)/dT = H; d ln(P_orb f)/dT = H; suhde P/τ_rt: 0,"LLR-etäisyys (valosekunteina) ja P_orb (atomisekunteina) ajautuvat +H0·r = 2,75 cm/v (Kuu); vain suhde on invariantti","LLR, LOD-budjetti",C09,src/local_expansion_and_bh.py,RISTIRIITA (väitteelle 'ei havaittava'),"Signaali ei katoa, mutta etäisyyssarjasta yksin sitä ei voi erottaa vuorovesireseesiosta (rank-vaje). Erottelu: kulmaliikemäärätase (vuorovesi-LOD 2,1 ms/vs vs 0,6 ms/vs) ja Kepler-suhde dlnP:dlna = 1,5 (vuorovesi) vs 1,0 (DU).",—
C19,TULKINTA,Tehtävänanto A2.6: suurempi c0 → rakenteet nopeammin,"G, M vakioita; ρ ∝ R4^{-3}",Γ_grav = sqrt(Gρ) ∝ 1/T; Γ_grav/H = vakio; Γ_atomic/H ∝ T^{2/3},—,—,"C04, C09",src/du_symbolic_checks.py,EI YKSILÖIDY,"Gravitaatiokollapsi per e-fold on epookista riippumaton (kuten EdS); väite vaatii erillisen paikallisen lain, jossa kollapsinopeus skaalautuu c0:lla.",puuttuva johdanto
C20,JOHDANTO,Tehtävänanto A3: mustat aukot,—,GR: ISCO d²V/dr² = 0 → r = 6GM/c²; Kerr ISCO a*=0.9: 2.32 rg,"Sgr A*: ISCO-periodi 32,6 min (Schw.)",Flare-periodit,—,src/local_expansion_and_bh.py,EI TESTATTU (DU-puoli),DU:n stabiilisuusanalyysi vaatii artikkelin efektiivisen potentiaalin; GR-referenssi laskettu.,datan puute
C21,KATTAVUUS,"CMB TT/TE/EE, BAO, BBN, rakenteiden kasvu, GW-aaltomuodot",—,—,—,—,—,reports/DU_AUDIT_FI.md,EI TESTATTU,"Ei saatavilla DU-johdantoja; tarvittavat yhtälöt listattu (häiriö-, rekombinaatio-, säteilysiirto-, kenttäyhtälöt). Pelkkä H(z):n vaihto ei ole DU-ennuste.",puuttuva teoria
C22,UUSI EHDOKAS C1,A4,Fotonivuon laimennuseksponentti q vapaa: D_L = R z (1+z)^{q/2},χ²-minimointi,q = 1.246 ± 0.030,SN Hubble-diagrammi,C11,src/pantheon_fit.py,EHDOLLINEN (heikko),"Parametrikustannus 1 (=ΛCDM:n Ωm). Δχ² = +14, ΔAIC +14 → epäsuotuisa; ennustetesti heikompi (254 vs 222). q ≈ 1,25 ei vastaa mitään yksinkertaista fotonilaskentaa (1, 2 tai 4).",—
C23,UUSI EHDOKAS C2,A4,L-B geodeettinen + Etherington: D_L = R sin(ln(1+z))(1+z),χ²,—,SN,C10,src/pantheon_fit.py,RISTIRIITA,Δχ² = +277. Geodeettinen S^3-malli tällä χ(z):llä hylätään Pantheon+:lla.,fysikaalinen ristiriita
C24,JOHDANTO,Etheringtonin relaatio,"Fotonilukumäärän säilyminen, metrinen geodeettinen eteneminen",L-B toteuttaa D_L = D_A(1+z)²; L-A (q=1) ei,—,—,C10,src/du_symbolic_checks.py,TOISTETTU,L-A:n q=1-muoto rikkoo resiprookkisuuden; rikkoutuva oletus on fotonien säilyminen poikittaisessa S^3-vuoputkessa.,—
C25,JOHDANTO (tekstimuunnoksesta),Ulkoisesti toimitettu artikkelin lausuma: D_L = z√(1+z)R4 ja lisäys 2.5 log10[(1+z)²],Ei muita piilotermejä,m_cat = M + 5log10(R4 z (1+z)^{1/2}) + 5 log10(1+z) = M + 5 log10(R4 z (1+z)^{3/2}) ⇔ p = 1.5 (q = 3),D_eff ∝ z(1+z)^{3/2},Pantheon+ m_b_corr,"C11, C12",src/pantheon_decisive_test.py,TOISTETTU (johdanto) / RISTIRIITA (havainto),Tekstimuunnoksen implikoima relaatio on täsmälleen p = 1.5; se on renderöidyn yhtälön 36 sijaan 'julkaistun tekstimuunnoksen implikoima relaatio'.,—
